Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1/1/12,Albury,15.7,34.9,0,,,SSW,30,SSE,SSW,6,7,61,27,1016.5,1013.2,,,24.2,33.4,No,0,No
1/2/12,Albury,17.8,36,0,,,SSW,24,ESE,S,9,15,57,30,1016.5,1012.9,,,25.5,35,No,0,No
1/3/12,Albury,19.7,38.9,0,,,NW,43,SE,W,7,15,55,21,1015.7,1011.8,,,26.5,38.8,No,0,No
1/4/12,Albury,20.5,32.5,0,,,W,35,W,W,7,9,60,41,1012.2,1011.7,,,24.5,30.4,No,0.4,No
1/5/12,Albury,13.3,30.6,0.4,,,W,35,SE,SW,6,17,59,23,1014.9,1011.6,,,20.9,29.2,No,0,No
1/6/12,Albury,12.6,29.2,0,,,SSE,31,SE,SSW,20,13,43,21,1015,1012.3,,,18.9,26.8,No,0,No
1/7/12,Albury,11.7,33.4,0,,,NNE,31,ENE,NE,15,9,47,19,1011.7,1007.5,,,21.6,30.7,No,5.6,Yes
1/8/12,Albury,19.1,26.1,5.6,,,NNW,39,NNE,WSW,11,13,91,85,1006.3,1002.1,,,20,22.6,Yes,3.8,Yes
1/9/12,Albury,12.7,24.6,3.8,,,W,43,WNW,W,20,28,56,33,1010.1,1009.4,,,16.5,23.3,Yes,0,No
1/10/12,Albury,10.8,24.8,0,,,NW,50,W,W,17,30,57,30,1011.2,1008.7,,1,17.9,23.5,No,0.4,No
1/11/12,Albury,12,19.5,0.4,,,SW,69,W,WSW,22,39,85,34,1006.8,1008.6,8,3,13.5,18.9,No,1.2,Yes
1/12/12,Albury,6.2,25,1.2,,,S,39,ESE,N,4,9,52,34,1017.9,1015.6,,,14.8,22.3,Yes,0,No
1/13/12,Albury,9.9,28.3,0,,,WNW,31,SSE,WSW,7,19,62,31,1016.4,1013.3,,,16.6,26.5,No,0,No
1/14/12,Albury,13.3,29.4,0,,,SE,31,SSE,ESE,19,15,49,26,1015.2,1012.6,,,19.5,27.7,No,0,No
1/15/12,Albury,15.1,31,0,,,NNE,41,SE,SSE,15,9,52,37,1017.6,1014.5,,2,20.7,29.7,No,0,No
1/16/12,Albury,16.5,31.6,0,,,ENE,39,ENE,NE,19,20,48,30,1020.9,1017.1,,3,23.5,29.3,No,0,No
1/17/12,Albury,18.9,33.4,0,,,NNW,30,NE,ENE,17,11,41,30,1020.8,1016.6,,,24.3,31.6,No,0,No
1/18/12,Albury,16.1,30.7,0,,,SW,31,ESE,ESE,9,15,64,55,1016.6,1014.7,6,7,21.2,25,No,0.4,No
1/19/12,Albury,17.8,36.1,0.4,,,WSW,28,SE,NW,11,11,59,26,1015.7,1012.8,1,,24.8,34.2,No,0,No
1/20/12,Albury,20.1,36.2,0,,,WSW,35,ESE,W,9,19,58,23,1014.2,1010.2,,,25.3,34.4,No,0,No
1/21/12,Albury,18.5,35.3,0,,,ENE,48,SE,S,11,11,56,28,1013.4,1010.7,,,24.9,33.5,No,0,No
1/22/12,Albury,20.9,33,0,,,NNE,33,SE,S,15,11,49,29,1019.9,1017.6,,,24.5,31.4,No,0,No
1/23/12,Albury,14,32.1,0,,,N,33,SE,SE,13,7,44,23,1020.9,1016.5,,,22.2,30.6,No,0,No
1/24/12,Albury,16.3,32.8,0,,,N,26,SSE,WSW,11,7,55,30,1017.4,1012.9,,,21.1,31.1,No,0,No
1/25/12,Albury,17.8,35.5,0,,,ENE,31,SSE,ESE,6,11,52,18,1013.2,1009.2,,,24.6,34.5,No,0,No
1/26/12,Albury,17.5,36.4,0,,,E,28,SE,WSW,9,7,38,24,1013.6,1010,,,24.4,34.9,No,0,No
1/27/12,Albury,19.9,35.4,0,,,NNE,39,SE,E,17,9,50,29,1015.6,1011.3,1,1,24.7,33.6,No,0,No
1/28/12,Albury,19.9,34.5,0,,,NE,31,SSE,S,6,6,56,29,1014.1,1008.7,,,24.9,32.4,No,0,No
1/29/12,Albury,20,36,0,,,ENE,43,NE,ENE,19,19,49,28,1008.7,1002.4,,1,26.4,33.8,No,26.8,Yes
1/30/12,Albury,20.8,29.1,26.8,,,WNW,48,NNW,NNW,24,28,92,69,995.3,995.4,7,8,22.6,27,Yes,9,Yes
1/31/12,Albury,15.1,27.9,9,,,SE,43,WSW,W,17,19,61,33,1007.7,1008.2,,1,19.1,26.2,Yes,0,No
2/1/12,Albury,14.9,28.5,0,,,SE,35,SE,S,19,11,52,38,1013.9,1010.3,1,,18.8,26.7,No,0,No
2/2/12,Albury,15.2,29.4,0,,,NNE,52,SE,NNE,22,7,55,32,1011.2,1006.8,,,20.1,28.5,No,0,No
2/3/12,Albury,17,29.8,0,,,SSW,31,SSE,WSW,15,20,69,39,1006.9,1003.3,,,20.6,27.4,No,0,No
2/4/12,Albury,15.5,32.5,0,,,WNW,28,SSE,SW,6,15,63,32,1005.3,1002,,1,21.2,30.7,No,0,No
2/5/12,Albury,16,33.5,0,,,NNW,87,SE,N,7,24,61,29,1000.9,995.7,,1,22.2,32.9,No,1.4,Yes
2/6/12,Albury,11.1,25.6,1.4,,,W,31,W,WNW,17,15,58,29,1005.5,1004.6,,,16.9,23.2,Yes,0,No
